Table Name,State Code,District Code,Town Code,Total/ Rural/ Urban,Area Name,Age-Group,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational Level - Literate without Educational Level Persons,Educational Level - Literate without Educational Level Males,Educational Level - Literate without Educational Level Females,Educational Level - Below Primary Persons,Educational Level - Below Primary Males,Educational Level - Below Primary Females,Educational Level - Primary Persons,Educational Level - Primary Males,Educational Level - Primary Females,Educational Level - Middle Persons,Educational Level - Middle Males,Educational Level - Middle Females,Educational Level - Matric/Secondary Persons,Educational Level - Matric/Secondary Males,Educational Level - Matric/Secondary Females,Educational Level - Higher Secondary/Intermediate Pre-University/Senior Secondary Persons,Educational Level - Higher Secondary/Intermediate Pre-University/Senior Secondary Males,Educational Level - Higher Secondary/Intermediate Pre-University/Senior Secondary Females,Educational Level - Non-technical Diploma or Certificate Not Equal to Degree Persons,Educational Level - Non-technical Diploma or Certificate Not Equal to Degree Males,Educational Level - Non-technical Diploma or Certificate Not Equal to Degree Females,Educational Level - Technical Diploma or Certificate Not Equal to Degree Persons,Educational Level - Technical Diploma or Certificate Not Equal to Degree Males,Educational Level - Technical Diploma or Certificate Not Equal to Degree Females,Educational Level - Graduate & Above Persons,Educational Level - Graduate & Above Males,Educational Level - Graduate & Above Females,Unclassified - Persons,Unclassified - Males,Unclassified - Females
C2308,29,01,40117000,Urban,Belgaum (M Corp.),All ages,399653,204598,195055,91358,36857,54501,308295,167741,140554,3510,1821,1689,50022,25892,24130,69598,34031,35567,29442,15986,13456,74529,39027,35502,31525,18275,13250,1371,1009,362,7143,5210,1933,41152,26488,14664,3,2,1
C2308,29,01,40117000,Urban,Belgaum (M Corp.),0-6,47642,24768,22874,47642,24768,22874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),7,6759,3495,3264,1375,662,713,5384,2833,2551,48,28,20,5336,2805,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),8,8067,4152,3915,568,292,276,7499,3860,3639,15,11,4,7484,3849,3635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),9,6948,3559,3389,275,137,138,6673,3422,3251,11,4,7,6291,3235,3056,371,183,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),10,9586,5009,4577,368,164,204,9218,4845,4373,26,15,11,6624,3538,3086,2568,1292,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),11,7315,3751,3564,160,63,97,7155,3688,3467,9,2,7,2319,1314,1005,4827,2372,2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),12,9326,4872,4454,337,133,204,8989,4739,4250,27,21,6,956,581,375,7445,3862,3583,561,275,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),13,7360,3710,3650,198,68,130,7162,3642,3520,14,7,7,288,172,116,4977,2606,2371,1883,857,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),14,7983,4159,3824,272,127,145,7711,4032,3679,21,16,5,289,183,106,2908,1629,1279,4493,2204,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),15,7378,3828,3550,322,141,181,7056,3687,3369,33,18,15,249,153,96,1201,722,479,4063,2119,1944,1510,675,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),16,7911,4075,3836,326,144,182,7585,3931,3654,33,15,18,276,172,104,1029,623,406,2404,1353,1051,3843,1768,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),17,7040,3749,3291,237,101,136,6803,3648,3155,34,21,13,188,115,73,748,476,272,935,592,343,4898,2444,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),18,10793,5655,5138,573,235,338,10220,5420,4800,92,56,36,405,244,161,1323,784,539,1040,620,420,3849,1962,1887,3169,1546,1623,71,37,34,271,171,100,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),19,7375,3774,3601,275,101,174,7100,3673,3427,37,22,15,226,126,100,717,425,292,599,377,222,2202,1108,1094,2921,1384,1537,70,39,31,328,192,136,0,0,0,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),20-24,41883,21792,20091,2491,814,1677,39392,20978,18414,414,238,176,1532,856,676,4600,2330,2270,3244,1960,1284,11518,5832,5686,9152,4803,4349,379,239,140,1828,1295,533,6724,3425,3299,1,0,1
C2308,29,01,40117000,Urban,Belgaum (M Corp.),25-29,36419,18071,18348,3426,991,2435,32993,17080,15913,396,202,194,1833,904,929,4896,2176,2720,2265,1218,1047,9937,4787,5150,4605,2616,1989,266,196,70,1317,1049,268,7478,3932,3546,0,0,0
C2308,29,01,40117000,Urban,Belgaum (M Corp.),30-34,30618,15387,15231,3513,1025,2488,27105,14362,12743,348,168,180,1882,930,952,4770,2075,2695,1846,938,908,8007,3904,4103,3201,1991,1210,200,169,31,1069,819,250,5781,3367,2414,1,1,0
